LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Team member,,,Lauri Lehtovuori,"Manager, Markets at PwC. Lauri joined the Finnish REAP team representing Aaltoes (Aalto Entrepreneurship Society), a student-run organization that was kicked-off in 2010 by students of Aalto University. Aaltoes is driving a positive cultural change in Finland so that academic students and researcher alike would start new businesses and write their own growth stories. The vision of the society is to turn Finland and the nearby area (Moscow, St. Petersburg, the Baltics and Stockholm) into one of the next entrepreneurship hubs by 2025. According to Lauri there is still a long way go but there is a simple formula that helps in reaching that goal: determination, hard work, the help of experienced entrepreneurs and not being afraid of trying out new things. Currently Lauri works with the most promising Finnish startup and growth companies at PricewaterhouseCoopers (PwC) Finland. The Economist (2013): &#39;IN 2010 A GROUP of students at Aalto University, just outside Helsinki, embarked on the most constructive piece of student activism in the history of the genre. They had been converted to the power of entrepreneurialism during a visit to the Massachusetts Institute of Technology.&#39;",,,,,,,,,,,,,,,,,,
Team member,,,P&auml;ivi Fadjukoff,"Head of Planning &amp; Development at the Agora Center, University of Jyv&auml;skyl&auml;. The AC is an institute for ambitious co-creation in the area of interdisciplinary human technology + human centric solutions research and development. The Agora Center creatively combines research of high international standard, in a range of scientific disciplines, with the expertise derived from its diverse partner network. The Center is grounded in a shared vision of developing the future knowledge society from a human-centric point of view.",,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
