LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,7.353693512,6.861775322,9.105307299,8.902133935,6.175849427,8.696704458,8.53,7.72,6.944251742,6.75,6.25,5.65,Norway,GEM,http://www.gemconsortium.org/data/sets,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,4.04,55,,,56.98,3.79,165.4,,3275.69,,700,2.91,Norway,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,18,18,8,7,8,6,6,6,6,6,6,5,Norway,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",38993,43196,48359,54723,56866,62432,56183,58770,62736,66365,65639,,Norway,OECD,http://stats.oecd.org/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,413100,412500,410700,424700,433300,445600,448500,449800,454400,460300,461000,,Western Norway,OECD,http://stats.oecd.org/,Region and Cities > Large Regions(TL2) > Labour Statistics > Regional Labour Force,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,Southwest Norway,,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Tom Fedog,CEO Stimline,tom-fedog.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Torger Reve,Professor,torger-reve.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Kjell O. Johannessen,"CEO, CIFO ManagementKjell O. Johannessen is Founder and CEO of CIFO Management, and has more than thirty years held important posts and positions in the Norwegian society. He is graduated as an engineer from Oslo Technical School, and has worked as a successful entrepreneur, evolving business from a sole proprietorship to a large contracting business - with both national and global projects in various industries.He has also held positions at many different levels in Norwegian organizations, including the Norwegian Petroleum Society and The Confederation of Norwegian Enterprises (NHO). In the latter, he has been a member of the Executive Board, Nomination Committee, Council of Europe, Education and Development Fund Special Committee - in addition to seven years as both a member and chairman of the Committee for Family Owned Businesses.However, it is the role as Manager of the cluster NCE NODE, Johannessen has distinguished himself most strongly in recent years. Under his leadership, the cluster has evolved from an ARENA project, to achieve status as a Norwegian Centre of Expertise (NCE). The cluster also became the first cluster in Norway, and one of three clusters in Europe, to be awarded GOLD Cluster Certification by the European Cluster Excellence Initiative (ECEI) - in competition with 200 other European clusters. Under his leadership, NCE NODE developed from 29 to 57 companies, from 1,800 to 10,000 employees and annual turnover increased from 5 to 40 billion NOK.He has also worked actively to develop a close working relationship with the NCE clusters in Alesund, Kongsberg and Raufoss, and in the development of a new Global Cluster Program. In addition, he played a key role in drafting new national EVU reform, in the development of tomorrow's ""Oil Technology Industry"" as a concept, and in the creation of Norwegian Industry Cluster.Kjell O. Johannessen is known as a skilled strategist, and a clear communicator with a unique network at home and abroad. In his work as a Director and Trustee, he has been a driving force in the creation of new and effective collaborations between Industry, Public sector, NGOs and Academia.",kjell-j.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Kristin Reitan Husebo,"CEO, Greater Stavanger Economic Development.Kristin Reitan Husebo is CEO of Greater Stavanger Economic Development working with economic development for the Stavanger region, Norways 3rd largest city region and the greatest oil & gas cluster in northern Europe.  She is also Chair of the Board at Siva, a governmentally owned company (Ministry of Trade and Fisheries), investing in real estate to develop innovation centres and facilitating innovation through a national incubator network. Kristin has entrepreneurial experience from research based innovation, being the founder and former director of Prekubator Technology Transfer. In her work in Greater Stavanger she is dedicated to stimulating value creation, technology transfer, innovation and entrepreneurship in the region - both related to, and outside, the energy sector.  http://www.greaterstavanger.com/eng As Chair of Sivas Board she is focused on developing an efficient national infrastructure to support entrepreneurship, being flexible to changes in industry and entrepreneurs needs. http://siva.no/?lang=en",kristin-r.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Peter Klemsdal,"Director, Sorlandet Knowledge FoundationPeter Klemsdal is currently director at the Sorlandet Knowledge Foundation in Kristiansand, Norway. The Foundation is a research financier for local businesses and the University of Agder, with a long term objective to facilitate growth in regional employment and social conditions.  Peter has held positions within process and oil&gas engineering at Norsk Hydro in Oslo, and was CFO at Canon Norway in the 1980s. His previous job was at Umoe Mandal, a privately owned defence  shipyard, where he held positions as CFO, Project Manager, and eventually CEO from  2000 until  2010.Over the last 20 years he has been involved with several small start-ups as well intrapreneurial spin-offs.        Peter Klemsdal holds a Master Degree in Mechanical Engineering from NTNU, Trondheim, Norway (1978) and an MBA from SUNY at Albany, New York (1981). Born in 1954, he lives in Mandal, Norway; is married and has three children.",peter-k.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,,,,,,,,,,,,,,,,,,,,
Team member - corporate,,,Tove Ormevik,"Offshore Installation Manager, Skarv Field, BP Norway.Chairman of the board , Global Center of Experise Subsea (GCE Subsea).Tove Ormevik holds a Master degree in Marine Technology from Norwegian University of Science and Technology. She has 20 years of experience from the oil and gas industry in Norway  and extensive experience within drilling, engineering, project management, onshore plant operation, subsea operation, logistic and offshore management.  Currently she holds a position as Offshore Installation Manager at Skarv FPSO after following the same project through shipyard activities, completion, commissioning, operational preparedness and start up. Previously sha has had several offshore- and onshore management positions in Statoil ASA. Since 2006 she has been chair of the Board for GCE Subsea, an industry initiative that works to strengthen and internationalise businesses, R&D and education among the subsea industry at the west coast of Norway . Within this cluster of 120 members, its companies and R&D institutions have developed great expertise that enable the cluster to challenge each other and face common issues together and to promote further development by increasing innovation. http://www.ncesubsea.no/",tove-o.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Tore Medhus,"Executive Vice president Corporate Sector, SpareBank 1 SR-Bank.Tore Medhus is head of corporate sector of SpareBank 1 SR-Bank (www.sr-bank.no) The banks head office is located in Stavanger, and it has activities in most of SouthWest Norway. The bank is market leader in its region, and is the second largest Norwegian owned bank. In total the bank serves more than 15.000 corporate customers.Medhus has worked with the corporate sector for more than 20-years. He has been responsible for the corporate sector in the bank for the last 15 years. Ha has also served as member of the banks management group in the same period.Medhus is chair of the board in two of the banks subsidiaries, SpareBank 1 SR-Finans and SpareBank 1 Regnskapshuset SR. He is also vice chair in the board of BN Bank.",tore-m.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Hans Petter Hildre,Professor at Aalesund University College,hans-petter.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Mona Skaret,,mona-skaret.jpg,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
