LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member,,,Simon Grey,"Chief Executive, AWS Ocean Energy Ltd. Simon is a chartered engineer with 28 years experience of power generation projects and business management of which 22 years have been in the renewables sector. He is responsible for the day-to-day running of the company.",,,,,,,,,,,,,,,,,,
Team member,,,Donna Chisholm,"Head of Business Innovation and Growth Sectors. Donna Chisholm has an instrumental role in fostering innovation and entrepreneurship in Scotland. She is the Head of Business Innovation and Growth Sectors, Highlands &amp; Islands Enterprise, operating at a strategic level across Highlands and Islands of Scotland. Her work areas include overseeing the continual growth of key business sectors, development of programs in innovation and entrepreneurship, leadership and management, international trade and business mentoring, all designed to accelerate business growth. Before joining Highlands and Islands Enterprise, Donna was Project Manager for the redevelopment of Eden Court in Inverness, delivering a &pound;23 million arts center from inception to completion. Prior to this, Donna worked for East Ayrshire Council as a Service Head. She also worked on programs for young people focusing on science, technology, engineering, and mathematics and on graduate employment.",,,,,,,,,,,,,,,,,,
Team member,,,Jonathan Harris,"Editor, Young Company Finance. Jonathan Harris is passionate about entrepreneurial financing for growth. He is the publisher and editor of Young Company Finance (YCF), a monthly review of early stage high growth companies in Scotland, which focuses particularly on the issues of how to fund growth. He acquired YCF from its founder in November 2000. Jonathan has subsequently expanded the business to encompass special reports on specific market sectors (to date Life Sciences, Digital Entertainment, and Renewable Energy), a very successful annual conference now in its eleventhyear, and in 2006 a new edition of YCF tracking young companies in the North of England (but recently discontinued). In 2010 Jonathan started a new project, Spinouts UK, which has created an online database of all spinouts from universities across the UK, which is regularly updated as the basis of a Quarterly Journal and Annual Report.  Jonathan comes from an impressive industrial background. For 15 years, he was a director and general manager at the international drilling company, Atlantic Drilling Company Ltd and served as chairman of the International Association of Drilling Contractors&#39; North Sea chapter, and on the Industry Advisory Board appointed by the then Minister for Energy. Jonathan is a director of LNC Scotland, the national business angel association.",,,,,,,,,,,,,,,,,,
Team member,,,Ian Ritchie,"Chairman, Iomart. Ian Ritchie is a serial entrepreneur in the IT sector. He is the Chairman of several software companies, such as iomart plc. (AIM:IOM), Computer Application Services Ltd., the Interactive Design Institute, Blipfoto, Cogbooks, Musemantik and RedFox Media. He is also Chairman of Our Dynamic Earth, the Edinburgh Science Center. In addition to his enterprises, he has been actively leading several professional networks such as the Edinburgh International Science Festival, ScotlandIS and Royal Academy of Engineering. Ritchie has also been active in venture capital as a director of Northern Venture Trust plc from 1997-2001 and as a member of the advisory board of Pentech Ventures from 2001. He is a member of the 'Access to Finance' expert group (A2FG) at the UK's Department for Business Innovation and Skills.",,,,,,,,,,,,,,,,,,
Team member,,,Clive Reeves,Executive at Scottish Enterprise.,,,,,,,,,,,,,,,,,,
Team member,,,Jonathan Levie,"Professor of Entrepreneurship, University of Strathclyde. From 2000 to 2005 Jonathan was Director of the Hunter Centre for Entrepreneurship at Strathclyde. He directs the UK Global Entrepreneurship Monitor programme and also leads the Scottish GEM team. Before joining the University of Strathclyde in 1999 to create a new postgraduate programme in Technology Entrepreneurship, he was Research Fellow at the Foundation for Entrepreneurial Management at London Business School, where he was also Associate Co-ordinator of the Global Entrepreneurship Monitor, a major international research project led by London Business School and Babson College. In 1997 he was Visiting Research Fellow and Part-time Lecturer in Management at Babson College, Wellesley, MA. He was formerly EC Research Fellow at INSEAD, France, and College Lecturer in the Department of Management at University College, Cork. He holds a Ph.D. from the University of London (London Business School) and a B.Sc. (Natural Sciences) and M.Sc (Management) from the National University of Ireland. Jonathan has been researching and teaching entrepreneurship since 1982. His main research interests are comparative entrepreneurial strategies, the evolution of young firms, the environment for entrepreneurship, and the nature of interaction between entrepreneurs and resource providers. His papers have been accepted for publication in Entrepreneurship Theory &amp; Practice, Research Policy, Small Business Economics, Family Business Review, Journal of Economic Issues, and Frontiers of Entrepreneurship Research, among others.",,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
