LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Gao Linlin,"Vice Director, Zhuozhou Agricultural Development Park, Zhuozhou City, Hebei ProvinceGAO Linlin works as the vice director, Agricultural Development Park, Zhuozhou City, Hebei Province. Zhuozhou Agricultural Development Park is the main research region of Beijing team this time.  She is interested in the investment, technological change and institutional change in industrial development in China.  She holds a Master degree in Statistics.",gao-l.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Chen Dongmin,"Dean, School of Innovation and Entrepreneurship, Peking University.Director, Office of Science and Technology Development, Peking University.Dr. Dongmin Chen is the Dean of School of Innovation and Entrepreneurship, Director of Science and Technology Development Office of Peking University, and a tenured full professor in the Faculty of Academy for Advanced Interdisciplinary Studies.  He is responsible for University Technology Transfer, University-Industry Partnership, and Entrepreneurship Education program. Dr. Chen was an adjunct Professor of the Institute of Physics, Chinese Academy of Sciences where he served as the co-director of the Beijing National Laboratory for Condensed Matter Physics from 2004 to 2009.  He was the founding Director of the Technology Incubator – Suzhou Institute of Technology.  He was a Sr. Rowland Fellow and the Head of the Nanoscale Quantum Physics Lab. at Harvard University from 1989 to 2004.  His academic expertise includes nanotechnologies and advanced semiconductor process integrations, nonvolatile material and device physics, MEMS device and process, MEMS-CMOS integration; spin and quantum device physics.  He co-authored more than 70 scientific publications. Dr. Chen is a serial entrepreneur.  He is the Chief Scientist and the inventor of the Metal Oxide Heteorjunction RRAM device of 4DS Inc. in the Silicon Valley.   He also co-founded Miradia Inc. where he led the development of a platform technology for MEMS-CMOS 3D integration for applications in digital micro-mirror array and motion sensors.  He is the inventor of more than 100 international.Dr. Chen is an Associate Editor and board member of Applied Physics letter and Journal and Applied Physics; a Sr. Associate Editor of Chinese Science Bulletin and an Associate Editor of Chinese Physics Letter.   He is the Honorar Advisor and former Chairman & President of Chinese American Semiconductor Professional Association in US.",chen-dongmin.jpg,,Champion,,,,,,,,,,,,,,,
Team member - university,,,Guo Lei,"Vice Dean, School of Innovation and Entrepreneurship, Peking University.Deputy Director, Office of Science and Technology Development, Peking University.Dr. GUO Lei is the Vice Dean of School of Innovation and Entrepreneurship and the Deputy Director of Office of Science and Technology Development at Peking University, China.  She is an associate research professor at Peking University.  She is responsible for the innovative and entrepreneurial education and research at SIE and OSTD.  Her current work focuses on developing Entrepreneurial Talent Development Programs on- campus and off- campus for the youth over China and helping incubate the star-ups.  She aims to support regional governments to build the innovation-driven economic growth systems and to evaluate the innovation efficiency.  She is the coordinator officer in Global Innovation Index program between Peking University and World Intellectual Property Organization.  She has professional experience in working with the academic institutions, the start-ups, the corporations and the governments.  She holds a Ph.d degree in life science and dual degree of Bachelor of Science and Bachelor of Economics.",guo-lei.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Han Xiaoyan,"Deputy Director, Division of Development and Planning, China Agricultural University.Dr. HAN Xiaoyan is a Vice Director of Division of Development & Planning, China Agricultural University.  On behave of the President of university, she is the core coordinator of the university to develop the research and technology,  to set up the spin-offs and star- ups at Zhuozhou Agricultural Development Park.  She holds a Ph.D degree of Education.",han-x.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Wang Jiping,"Deputy Director, Beijing-Tianjin-Hebei Integration Development Office, Hebei   Province.Dr. WANG Jiping is the core leader of the Beijing-Tianjin-Hebei Integration Development Office, Hebei   Province. He has rich experience in coordinating the government resources and making the key policies at the province level.  He holds his Ph.d degree in Sociology.",wang-jiping.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Hu Guoliang,"CEO, Baoding District, China Fortune Land Development (CFLD). LTD.CFLD focuses on becoming the leader of new industrial city in the world, adhere to the concept of“urban prosperity through the industry, industrial development through industrial city, integration of industry and industrial city, urban-rural integration”, and establishing the business model of taking new industrial city as the core product.  HU Guoliang is CEO, Baoding District of CFLD.  He is responsible for the investment and development of Zhuozhou Agricultural Development Park, Hebei Province.Hu Guoliang is the Zhuozhou area General Manager of G45 business group in CFLD, who has rich working experience in the regional development.  He is responsible for the business development of the Hebei G45 Scientific and Technological Achievement Transformation Testing District, the evaluation, the investment, the business operation and regional development management of Zhuozhou National Agricultural Hi-tech Industries Zone.",hu-g.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Yuan Peihong,"Division Director, Beijing-Tianjin-Hebei Integration Development Office, Hebei   Province.Dr. YUAN Peihong is in charge of one division of Beijing-Tianjin-Hebei Integration Development Office, Hebei   Province.   He is very familiar with the key Development and Reform Programs in Hebei Province.   He holds a Ph.d degree in Economics.",yuan-p.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Liu Yunming,"Officer, Economic and Technical Cooperation Office, Development and Reform Commission, Hebei Province.LIU Yunming is an officer of Economic and Technical Cooperation Office, Development and Reform Commission, Hebei Province.  He is responsible for the cooperation between local government and large corporations.  He holds a Master degree in Engineering.",liu-y.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,,,,,,,,,,,,,,,,,,,,
Team member - corporate,,,Shi Yajun,"Head, Institute for Urban Agriculture Research, Beijing Agricultural University.Professor SHI Yajun is the head of the Institute for Urban Agriculture Research, Beijing Agricultural University and the Deputy Secretary-General of the Urban Agriculture and Leisure Agriculture Branch of China Agronomy Society.  He has rich experiences in rural and agriculture research.  He has completed more than 30 agriculture planning and research programs, including the Guideline for Leisure Agriculture Development during the 12th Five-Year Plan Period, which is the first leisure agriculture development plan on the national level.",shi-y.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Xu Guangcai,"Lecturer on Urban Agriculture, Beijing University of Agriculture.Dr. XU Guangcai is a Lecturer on Urban Agriculture, Beijing University of Agriculture. He has rich experience in agriculture programs planning and holds a Ph.D degree of Land Resources Managementand.",xu-g.jpg,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
