LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Benjy Singer,"Deputy Head of Community EMEA, WEWORK.Benjy Singer spent 25 years in the restaurant business in Israel. Has owned and operated business from fine dining to fast food. Benjy was the GM of a chain of coffee shops that he scaled from 12 to over 60 franchises. Benjy has always had a passion for hospitality and entrepreneurship and in 2010 found the intersection between the two in WeWork. In 2013 he convinced Adam Neumann, the founder of WeWork that it was time to expand to Israel and became the GM of WeWork Israel. In Dec 2014 opened the first building and today one of WeWork’s fastest growing markets. Today Benjy is still the Director of WeWork Israel but is involved in the expansion through Europe and helping to develop the global community of entrepreneurs. Dividing his time between Tel Aviv and NYC. Benjy was born in NY and moved to Israel in 1987. Married with 3 kids, the oldest serving in the Israeli Air Force.",benjy-singer.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Daniela Kandel,"Head of Academic Relations & Strategy, Start-Up Nation Central.Start-Up Nation Central; (http://www.startupnationcentral.org/) an Israeli based non-profit dedicated to applying the roots and elements of Israel’s innovation culture to build bridges between Israel and other countries, companies and entrepreneurs. Prior to joining Start-Up Nation Central, Kandel was a Milken Institute Fellow; stationed at the Accountant General's Office at the Ministry of Finance. She was involved in developing the first social impact bond for the prevention of diabetes, creating a Social 'Yozma' fund for the investment in social enterprises as well as promoting the inclusion of disadvantaged populations in the workforce. Prior to joining Milken, she worked as an economist in the Market Operations Department at the Bank of Israel. Her work included surveillance and analysis of local and global crises, development of a new tender system, implementation of monetary policy and monitoring its implications. For over a decade, Kandel was a competitive athlete in Taekwondo; part of the Israeli national team,   ranked 13th in Europe in 2008. Kandel holds a BA in Economics and Statistics (cum laude) and an MA in Financial Economics, both from the Hebrew University.",daniela-k.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Inbal Arieli,"Vice President, Strategic Partnerships, Start-Up Nation Central.Inbal joined Start-Up Nation Central after more than a decade of experience working with start-ups and building companies of her own. Prior to that, and during her military service Inbal was a Lieutenant in the IDF elite intelligence 8200 unit. There she led a professional intelligence team in a highly advanced technological environment at the fore of Israel's intelligence effort. She served afterward as Head of Faculty at the Intelligence Officers’ School.In her professional career following the military service, Inbal served as General Counsel to several start-ups and leading Israeli hi-tech companies, in which she held executive positions, in various tech verticals such as aerospace and telecommunication.Inbal founded a series of programs for innovators, including the 8200 Entrepreneurship and Innovation Support Program, Israel’s first start-up accelerator; and GAMMADO, an incubator to identify and enable Israel’s outstanding young talent to launch meaningful start-ups.Inbal lectures widely on the Israeli innovation and start-up ecosystem to business and government leaders in Israel and abroad. Among her most popular lectures is “The Roots of Entrepreneurship,” which analyzes how Israeli culture breeds entrepreneurship at a very young age.Inbal holds an LL.B. Law, B.A in Economics and MBA, Entrepreneurship and Strategy, from the Tel Aviv University. She lives in Tel Aviv with her spouse and three sons.",inbal-a.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Zohar Wohlfarth Cohen,"Ceo, College of Engineering.Zohar joined SCE as in 2006 as CFO (Chief Financial Officer) after eight years at Ben Gurion University of the Negev (BGU), where she served as Head of the Operational Budget Department. In 2009, Zohar was appointed Deputy CEO at SCE, quickly becoming responsible for all Financial, Human Resources, Marketing and Publicity matters in the college. Between 2006-2009, Zohar took over management of SCE’s Publishing Department, which included leading and activating SCE’s re-branding process, which ultimately made the college one of the leaders in its field. In recent years, Zohar has been instrumental in providing members of Israel’s ultra-Orthodox communities with opportunities to join the county’s work force by establishing academic engineering degree programs in SCE. Likewise, with the situation vis-à-vis French Jewry, Zohar helped establish a successful program for French high school graduates to study engineering in Israel (at SCE) with the intention of eventually integrating into Israeli society. Prior to that and during her military service, Zohar was a soldier-teacher in the IDF’s Education Corps, stationed for 2 1/2 years at the Yarkon Field School in Petah Tikva, where she led field tours of historic sites and places of natural interest throughout Israel. Zohar’s first employment was at UPS (United Projects Services Ltd.) in Be’er Sheva, where she was responsible for preparing projects and feasibility proposals, mainly with regard to energy, as well as organizing the company’s competitive intelligence.Zohar holds an LLM Law from Bar Ilan University, as well as an MBA and BA in Economics from Ben Gurion University of the Negev. She is married and has two sons, and lives in the south Israeli town of Metar.",zohar-w.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Erez Yaary,"Senior Director, HP Software Chief TechnologistErez Yaary is HP Software’s Chief Technologist, leading the development of new and exciting capabilities across HP Software’s portfolio to support customers on their journey to containers. Erez also leads HP Software’s open source and DevOps strategies.During his 20+ years in the technology industry, Erez held multiple development, product management and architecture roles in both consumer and enterprise markets and is credited with several patents.",erez-y.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Yehuda Frankel,"City Council member In charge of Industry and Education.During the past 7 years, Mr. Yehuda Frankel serves as a senior council member in Ashdod Municipality.Yehuda is in charge of education and industrial development, while among his municipal positions, he is leading the Innovation and Entrepreneurship field.Previous to this position, he was the CEO of one of the top leading high-tech company in the Israeli Defense industry (Elta Systems Ltd) where he worked for 30 years in a variety of roles.Yehuda has M.Sc. in Computers from the Technion Institution.He also was the CEO of organization named ""Clal""- Computers and Technology Company.",yehunda-f.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Yuval Shahar,"Partner, MARKER LLC & INNOVATION.Yuval is an Entrepreneur and Angle investor currently involved as a co-founder, Chairman or Board member in a variety of companies (including Qwilt, Taykey, Compass-EOS, Panoramic Power, Tufin and others). Until 2009 Yuval served as a GM at Cisco running one of the BU's in Cisco's Service Provider group. Prior to Cisco Yuval co-founded P-Cube and served as its President and CEO, providing both leadership and vision up to its acquisition by Cisco in 2004. Prior to P-Cube, Yuval co-founded Pentacom, a pioneer in Dynamic Packet Transport (DPT) products, as well as previously leading the creation of Infogear, which developed some of the industry's first web appliances (both companies were acquired by Cisco). Previously, Yuval served as Vice President of Research and Development at VocalTec, overseeing the and creation and development of the first set of VoIP architectures and products (VocalTec went public on NASDAQ 1996). Yuval started his career at Motorola and National Semiconductors in a variety of technology and software development and management roles.",yuval-s.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,Dr. Smadar Itzkovich,"Head of Industry Development Division.Dr. Itzkvoich is broadly educated: from physics to management in the social sciences, through business law and to a PhD in Business with a specialization in Public Sector Management.Dr. Itzkovich came to public sector education management 12 years ago, following a senior management position in the high-tech field, with the aim of increasing access to higher education in the city of Ashdod.  While working in education management, she also established one of the first youth centers in Israel, 'Kivunim', a national prototype on the basis of which more than 30 youth centers have been established across the country.  Dr. Itzkovich has raised significant funding from funds, government bodies and philanthropic organizations for the purpose of advancing innovative programs in education.  She also established the Division for Industrial Development at the Ashdod Municipality more than 5 years ago, a process which led to accelerated development in encouraging technology-rich industry alongside the establishment of accelerators and financial technology development centers. Her broad municipal experience includes guiding, supporting and providing a unique system of incentives that is both municipal and national for companies that partake in establishing high-tech activity in the city of Ashdod, a city of about 250,000 residents in southern Metropolitan Tel Aviv.",smadar-i.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Guy Avrutzky,"Manager of Strategic R & D, the Institute for Leadership and Governance, JDC IsraelCivil Society.Over the last 4 years, Guy has been responsible for measurement, evaluation and knowledge development at the Institute. This Includes introducing and implementing cutting-edge methodologies and academic knowledge. In his previous position, Guy was the CEO of NOVA, an NGO that provides business and strategic counseling services to social organizations. In addition he co-founded and was the Director of ""Student Leaders"", an association that gathered hundreds of students across the country to volunteer in various social projects.Guy holds an M.A in the Honor's program of Public Policy at the Federmann School of Public Policy and Government and a B.A in the Interdisciplinary Program of Philosophy, Politics and Economics (PPE). Both of them from the Hebrew University in Jerusalem.",guy-a.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Meir Elharar,"Israel Site Manager, Brooks Automation.Meir is an entrepreneur involving as a volunteer in various projects to promote entrepreneurship and Hi-tech in his home city, Ashdod. For the last 10 years Meir is working as the Israel Site Manager, End Users Account Manager and Regional Service Manager at Brooks Automation. Previous to this position he was working at the same company for almost 7 years as Service Manager and System Expert/Engineer in charge. He has Msc in Management from New York University, BA in HR & Political Science from Bar- Ilan University and certification in the field of Practical Engineering – Electronic and Computer systems.Meir's vision is to create an innovative entrepreneurs community @ Ashdod City, through sharing and cooperation at all municipal levels – Education, SMB’s and employment.",meir-e.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Yael Slavin,"Business Outreach Coordinator, TEVET-JDC Israel.Over the last 8 years, Yael has been responsible for business outreach coordination at TEVET-JDC. This Includes developing and creating various projects catering for the business society and for TEVET’s employment programs. These schemes enable varied populations to enter the work force and advance, while employers gain suitable employees, as well as seminars, trainings and workshops for the business sector. Yael also serves as Director in the Board of the Israeli Forum for Diversity Hiring, founded by TEVET-JDC. She is active in developing the Forum’s projects and in recruiting new employers to join as members.In her previous positions, Yael was Social Responsibility Manager at PWC, an international accountants firm; her role included developing and managing social projects in the city of Jaffa. In addition she was Manager of Maala CSR Index, working together with the Tel Aviv Stock Exchange; her role included recruiting companies and instructing them upon entering the Index ranking in the field of corporate social responsibility. Yael also facilitated a tri-sector project in the city of Nazareth, aiming to turn Nazareth into a digital city; the project included working together with the Local Authority, the Ministry of Education and leading high-tech companies.Yael holds an M.B.A in Human Resources and Organizational Consulting from the Ono Academic College, and a B.A in Special Needs Education and History from the Kibbutzim College of Education. Her additional training includes: Organizational Consulting, Social Responsibility and Tri-Sector Facilitation certificate studies.",yael-slavin.jpg,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
